Human
CommanderUnit,Bob
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
InfantryUnit,Footman
RangedUnit,Archer
RangedUnit,Archer
RangedUnit,Archer
RangedUnit,Archer
RangedUnit,Archer
RangedUnit,Archer
RangedUnit,Archer
RangedUnit,Archer
RangedUnit,Archer
RangedUnit,Archer
RangedUnit,Archer
RangedUnit,Archer
RangedUnit,Archer
RangedUnit,Archer
RangedUnit,Archer
RangedUnit,Archer
RangedUnit,Archer
RangedUnit,Archer
RangedUnit,Archer
RangedUnit,Archer
CavalryUnit,Chad
CavalryUnit,Chad
CavalryUnit,Chad
CavalryUnit,Chad
CavalryUnit,Chad
